selected,doi,gsid,type,title,journal,author,date,score,times_cited
,10.5194/essd-15-963-2023,bzZYiBgAAAAJ:dhFuZR0502QC,journal-article,National CO2 budgets (2015_2020) inferred from atmospheric CO2 observations in support of the Global Stocktake,Earth System Science Data,"Brendan Byrne, David F Baker, Sourish Basu, Michael Bertolacci, Kevin W Bowman, Dustin Carroll, Abhishek Chatterjee, Fr¨¦d¨¦ric Chevallier, Philippe Ciais, Noel Cressie, David Crisp, Sean Crowell, Feng Deng, Zhu Deng, Nicholas M Deutscher, Manvendra Dubey, Sha Feng, Omaira Garc¨ªa, David WT Griffith, Benedikt Herkommer, Lei Hu, Andrew R Jacobson, Rajesh Janardanan, Sujong Jeong, Matthew S Johnson, Dylan BA Jones, Rigel Kivi, Junjie Liu, Zhiqiang Liu, Shamil Maksyutov, John B Miller, Scot M Miller, Isamu Morino, Justus Notholt, Tomohiro Oda, Christopher W O¡¯Dell, Young-Suk Oh, Hirofumi Ohyama, Prabir K Patra, H¨¦l¨¨ne Peiro, Christof Petri, Sajeev Philip, David F Pollard, Benjamin Poulter, Marine Remaud, Andrew Schuh, Mahesh K Sha, Kei Shiomi, Kimberly Strong, Colm Sweeney, Yao T¨¦, Hanqin Tian, Voltaire A Velazco, Mihalis Vrekoussis, Thorsten Warneke, John R Worden, Debra Wunch, Yuanzhi Yao, Jeongmin Yun, Andrew Zammit-Mangion, Ning Zeng",2023/3/7,512.5,52
,10.1038/s41597-023-01963-0,bzZYiBgAAAAJ:M3ejUd6NZC8C,journal-article,Near-real-time global gridded daily CO2 emissions 2021,Scientific Data,"Xinyu Dou, Jinpyo Hong, Philippe Ciais, Fr¨¦d¨¦ric Chevallier, Feifan Yan, Ying Yu, Yifan Hu, Da Huo, Yun Sun, Yilong Wang, Steven J Davis, Monica Crippa, Greet Janssens-Maenhout, Diego Guizzardi, Efisio Solazzo, Xiaojuan Lin, Xuanren Song, Biqing Zhu, Duo Cui, Piyu Ke, Hengqi Wang, Wenwen Zhou, Xia Huang, Zhu Deng, Zhu Liu",2023/2/6,13.9,17
,10.1038/s41597-022-01796-3,bzZYiBgAAAAJ:4TOpqqG69KYC,journal-article,Near-real-time daily estimates of fossil fuel CO2 emissions from major high-emission cities in China,Scientific Data,"Da Huo, Kai Liu, Jianwu Liu, Yingjian Huang, Taochun Sun, Yun Sun, Caomingzhe Si, Jinjie Liu, Xiaoting Huang, Jian Qiu, Haijin Wang, Duo Cui, Biqing Zhu, Zhu Deng, Piyu Ke, Yuli Shan, Olivier Boucher, Gr¨¦goire Dannet, Gaoqi Liang, Junhua Zhao, Lei Chen, Qian Zhang, Philippe Ciais, Wenwen Zhou, Zhu Liu",2022/11/10,6.65,14
,10.1016/j.xinn.2022.100346,bzZYiBgAAAAJ:Zph67rFs4hoC,journal-article,A carbon-monitoring strategy through near-real_time data and space technology,The Innovation,"Zhu Liu, Zhu Deng, Xiaoting Huang",2022/11/3,5.1,10
,10.1186/s13021-022-00214-w,bzZYiBgAAAAJ:ULOm3_A8WrAC,journal-article,On the use of Earth Observation to support estimates of national greenhouse gas emissions and sinks for the Global stocktake process: lessons learned from ESA-CCI RECCAP2,Carbon Balance and Management,"Ana Bastos, Philippe Ciais, Stephen Sitch, Luiz EOC Arag_o, Fr¨¦d¨¦ric Chevallier, Dominic Fawcett, Thais M Rosan, Marielle Saunois, Dirk G¨¹nther, Lucia Perugini, Colas Robert, Zhu Deng, Julia Pongratz, Raphael Ganzenm¨¹ller, Richard Fuchs, Karina Winkler, S_nke Zaehle, Cl¨¦ment Albergel",2022/10/1,26.5,20
,10.1038/s41597-022-01657-z,bzZYiBgAAAAJ:qxL8FJ1GzNcC,journal-article,Carbon Monitor Cities near-real-time daily estimates of CO2 emissions from 1500 cities worldwide,Scientific Data,"Da Huo, Xiaoting Huang, Xinyu Dou, Philippe Ciais, Yun Li, Zhu Deng, Yilong Wang, Duo Cui, Fouzi Benkhelifa, Taochun Sun, Biqing Zhu, Geoffrey Roest, Kevin R Gurney, Piyu Ke, Rui Guo, Chenxi Lu, Xiaojuan Lin, Arminel Lovell, Kyra Appleby, Philip L DeCola, Steven J Davis, Zhu Liu",2022/9/1,31,33
1,10.1038/s41561-022-00965-8,bzZYiBgAAAAJ:kNdYIx-mwKoC,journal-article,Global patterns of daily CO2 emissions reductions in the first year of COVID-19,Nature Geoscience,"Zhu Liu_, Zhu Deng_, Biqing Zhu, Philippe Ciais, Steven J Davis, Jianguang Tan, Robbie M Andrew, Olivier Boucher, Simon Ben Arous, Josep G Canadell, Xinyu Dou, Pierre Friedlingstein, Pierre Gentine, Rui Guo, Chaopeng Hong, Robert B Jackson, Daniel M Kammen, Piyu Ke, Corinne Le Qu¨¦r¨¦, Crippa Monica, Greet Janssens-Maenhout, Glen P Peters, Katsumasa Tanaka, Yilong Wang, Bo Zheng, Haiwang Zhong, Taochun Sun, Hans Joachim Schellnhuber",2022/6/30,355.28,68
1,10.5194/essd-14-1639-2022,bzZYiBgAAAAJ:BqipwSGYUEgC,journal-article,Comparing national greenhouse gas budgets reported in UNFCCC inventories against atmospheric inversions,Earth System Science Data,"Zhu Deng_, Philippe Ciais_, Zitely A Tzompa-Sosa, Marielle Saunois, Chunjing Qiu, Chang Tan, Taochun Sun, Piyu Ke, Yanan Cui, Katsumasa Tanaka, Xin Lin, Rona L Thompson, Hanqin Tian, Yuanzhi Yao, Yuanyuan Huang, Ronny Lauerwald, Atul K Jain, Xiaoming Xu, Ana Bastos, Stephen Sitch, Paul I Palmer, Thomas Lauvaux, Alexandre d'Aspremont, Cl¨¦ment Giron, Antoine Benoit, Benjamin Poulter, Jinfeng Chang, Ana Maria Roxana Petrescu, Steven J Davis, Zhu Liu, Giacomo Grassi, Cl¨¦ment Albergel, Francesco N Tubiello, Lucia Perugini, Wouter Peters, Fr¨¦d¨¦ric Chevallier",2022/4/11,47.28,85
,10.1038/s41558-022-01332-6,bzZYiBgAAAAJ:MXK_kJrjxJIC,journal-article,Emissions rebound from the COVID-19 pandemic,Nature Climate Change,"Steven J Davis, Zhu Liu, Zhu Deng, Biqing Zhu, Piyu Ke, Taochun Sun, Rui Guo, Chaopeng Hong, Bo Zheng, Yilong Wang, Olivier Boucher, Pierre Gentine, Philippe Ciais",2022/3/31,494.41,57
1,10.1038/s43017-022-00285-w,bzZYiBgAAAAJ:5nxA0vEk-isC,journal-article,Monitoring global carbon emissions in 2021,Nature Reviews Earth & Environment,"Zhu Liu, Zhu Deng, Steven J. Davis, Clement Giron, Philippe Ciais",2022/3/21,623.2,293
,10.1016/j.eng.2021.12.019,bzZYiBgAAAAJ:3fE2CSJIrl8C,journal-article,Near-Real-Time Carbon Emission Accounting Technology Toward Carbon Neutrality,Engineering,"Zhu Liu, Taochun Sun, Ying Yu, Piyu Ke, Zhu Deng, Chenxi Lu, Da Huo, Xiang Ding",2022/3/14,8.03,60
,10.1088/1748-9326/ac55b6,bzZYiBgAAAAJ:isC4tDSrTZIC,journal-article,Global fossil carbon emissions rebound near pre-COVID-19 levels,Environmental Research Letters,"RB Jackson, P Friedlingstein, C Le Qu¨¦r¨¦, S Abernethy, RM Andrew, JG Canadell, Philippe Ciais, SJ Davis, Zhu Deng, Zhu Liu, Jan Ivar Korsbakken, Glen Philip Peters",2022/3/7,199.35,59
,10.1029/2021ef002250,bzZYiBgAAAAJ:KlAtU1dfN6UC,journal-article,Impact of Lockdowns and Winter Temperatures on Natural Gas Consumption in Europe,Earth's Future,"Philippe Ciais, Fran_ois_Marie Br¨¦on, Stijn Dellaert, Yilong Wang, Katsumasa Tanaka, L¨¦na Gurriaran, Yann Fran_oise, Steven J Davis, Chaopeng Hong, Josep Penuelas, Ivan Janssens, Michael Obersteiner, Zhu Deng, Zhu Liu",2021/12/22,7.55,15
